product_name,Category,Price,customer_name,City,purchase_date
Christopher,Clothes,529,Kenneth Cooper,New Matthew,2023-03-22
Jill,Clothes,722,Brandon Swanson,Camposstad,2020-04-09
Taylor,Toys,592,Dennis Thomas,Romeroport,2023-07-01
Anthony,Electronics,118,Meredith Lopez,South Jonathanberg,2020-10-31
Carol,Electronics,526,Francisco Williams,Staceybury,2022-03-04
Crystal,Toys,593,Christopher Collins,Melissamouth,2020-04-16
Kristy,Clothes,853,Sarah Smith,North Jacob,2023-01-15
Tammy,Clothes,836,Peter Hess,Lake Kristen,2020-10-15
Stephanie,Toys,123,Michelle Garner,Lake Tina,2020-02-27
Laura,Toys,362,Erica Lopez,Lake Juanborough,2022-10-30
Robert,Clothes,588,Scott Mccoy,Port Richard,2021-12-16
Alex,Electronics,569,Andrew Cervantes,Taylorfurt,2023-03-18
Linda,Toys,864,Laura Woods,Marioburgh,2021-08-11
Lori,Clothes,513,Melinda Diaz,Juarezchester,2020-02-08
Alexis,Clothes,789,Katrina Simpson,New Dennis,2021-01-26
David,Electronics,944,Diana Vargas,Mcdonaldfort,2023-07-08
Fred,Electronics,138,Brent Clark,Duncanhaven,2022-04-01
Eric,Toys,675,John Myers,Curtismouth,2020-11-30
Oscar,Clothes,446,Danny Faulkner,Jillstad,2021-09-16
Steven,Electronics,880,Melissa Hanson,New Candace,2022-07-11
Cynthia,Clothes,258,Sarah Cook,Smithmouth,2020-02-22
Kimberly,Toys,498,Cynthia Levy,Elainefort,2020-10-13
Nathan,Toys,554,Diana Watkins,South Christine,2020-04-25
Rebecca,Electronics,729,Tiffany Brown,Austinborough,2021-06-15
Kenneth,Toys,667,Ryan Long,Leeburgh,2020-05-01
Katherine,Electronics,449,Steven Floyd,Washingtonside,2022-08-29
Patricia,Clothes,975,Jonathan Cunningham,Danaborough,2020-07-08
Emily,Electronics,320,Sherry Robinson,Natalietown,2021-10-04
Dylan,Toys,994,Michelle Bradley,Lake Christopherbury,2020-07-09
Deanna,Clothes,371,Mr. Christopher Foster,East Rebecca,2020-09-25
Hannah,Toys,903,Angela Gray,West David,2023-02-07
Maria,Clothes,400,Casey Guzman,Lisabury,2020-04-27
James,Toys,115,Kathy Campos,New Barbara,2022-04-20
Monica,Toys,748,Adrian Berry,New Sarah,2023-05-17
Charles,Toys,358,Scott Mcknight,Dawnside,2022-11-24
Matthew,Clothes,911,Heidi Jackson,Lydiabury,2020-11-07
Timothy,Clothes,879,Crystal Rodgers,Perryside,2022-03-06
Mark,Clothes,323,William Olson,West Jamesburgh,2022-05-15
Peter,Toys,983,Kimberly Walker,Foxfurt,2023-02-03
Samantha,Toys,702,Jose Gardner,Lake Hollyport,2023-08-13
Michelle,Clothes,162,Terry Lucas,Davidtown,2021-04-14
Pamela,Toys,844,Brian Peterson,Brownchester,2023-02-12
Dustin,Clothes,953,Robert Herrera,West Jenniferhaven,2021-08-24
Brian,Clothes,503,Christian Tyler,Jennaton,2020-01-04
Michael,Clothes,577,Luis Rodriguez,North Kaylaville,2021-10-17
Diane,Clothes,858,Mackenzie Fowler,West Holly,2021-06-26
Thomas,Clothes,143,Dave Williams DDS,Samanthashire,2023-08-27
Jennifer,Toys,477,Candace Baxter,Deannahaven,2020-12-10
Kendra,Clothes,269,Terrance Clark,Armstronghaven,2022-01-31
Richard,Electronics,834,Robert Moran,Williamsmouth,2021-03-27
Jessica,Toys,418,Michael Wallace,Lake Jesseport,2021-01-02
Brittney,Toys,946,Michelle Ramirez,Lake Sandra,2022-11-25
Jerry,Clothes,274,Jennifer Carroll,Loganfurt,2021-10-15
Amy,Electronics,470,Beth Lane,East Evan,2023-06-08
Elizabeth,Electronics,522,Holly Peterson,North Kimberly,2023-01-04
Joseph,Toys,108,Leslie Hall,Jasonville,2023-09-12
Jason,Electronics,294,Jeremy Potter,Lisahaven,2022-01-24
Kyle,Electronics,404,Charles Washington,West Natalieberg,2022-09-22
Tyler,Toys,986,Lisa Johnson,Fitzgeraldbury,2022-01-10
Aaron,Toys,166,Deanna Ortega,Lake Victoriafort,2022-06-13
Rachel,Toys,968,Kelsey Wong,West Travis,2022-10-27
Daniel,Electronics,925,Gregory Scott,Petersport,2020-12-18
Lauren,Toys,335,Thomas Simmons,Hillmouth,2021-07-09
Stephen,Toys,308,Michael Conway,Dunnport,2021-11-21
Tara,Electronics,334,Elizabeth Gonzales,East Victoria,2020-02-21
Danielle,Clothes,321,Jesus Coleman,South Davidtown,2021-06-06
Melissa,Electronics,235,Valerie Roberts,South Shelia,2022-02-15
Johnny,Toys,237,Kelli Ward,South Carlos,2023-03-25
Stacey,Clothes,922,John Trujillo,East Audreytown,2022-04-09
Madison,Toys,934,Crystal Nelson,East Russellberg,2022-02-11
Chase,Toys,617,Alexandra Scott,North Jamesborough,2020-05-03
Shannon,Electronics,416,Joseph Pena,South Ann,2021-07-05
Trevor,Toys,881,Alyssa Miller,Perezshire,2023-01-18
Curtis,Clothes,760,James Anderson,Marymouth,2022-02-24
Amanda,Clothes,709,Meghan Adams,West Emilyhaven,2023-05-27
Julie,Clothes,605,Joshua Klein,Lake Sarahmouth,2021-10-21
Keith,Clothes,653,Carolyn Medina,West Andrea,2023-09-28
Ryan,Toys,1000,Justin Guerrero,East Martha,2022-09-26
Mason,Toys,232,Albert Berry,Shawnshire,2023-07-16
Connie,Clothes,391,Sarah Scott,Wallaceborough,2021-03-14
Cheryl,Clothes,912,Teresa Alvarez,Martinezmouth,2021-12-06
April,Clothes,688,Andre Copeland,Lake Julie,2021-07-24
Kristina,Electronics,940,Andrew Clark,Liuside,2023-02-22
Nathaniel,Toys,167,Adam Bailey,Tinaton,2021-10-28
Nicholas,Clothes,217,Todd Davis,Reginaside,2023-09-03
Duane,Clothes,902,Ricardo Lozano,Barnetthaven,2021-08-12
Chloe,Clothes,874,Brenda Norris,Melissabury,2023-06-07
Megan,Clothes,608,Jennifer Snyder,Sheriberg,2021-04-10
Seth,Toys,533,Latoya Callahan,Lake Gary,2020-07-18
Ashley,Toys,692,Kyle Thompson,New Stephanie,2020-10-02
Marie,Clothes,429,John Ritter,Snowfurt,2023-02-16
John,Toys,992,Jordan Martinez,Danielleside,2022-04-08
Kristin,Clothes,623,Anthony Davis,Lake Dana,2020-02-02
Bonnie,Clothes,189,Ronald Santos,Lisamouth,2022-02-14
Allison,Toys,746,Erin Alexander,West Juliafort,2021-10-26
Kevin,Toys,897,Morgan Turner,Caldwellland,2021-05-01
Wayne,Electronics,554,Joel Cook,Lake Brittany,2020-05-15
Jeffrey,Clothes,847,Angel Johnson,Reidmouth,2020-09-02
Joan,Electronics,777,Michael Moore,New Aaronhaven,2022-10-01
Teresa,Toys,854,Amanda Alexander,Liuberg,2020-02-09
