product_name,Category,Price,customer_name,City,purchase_date
Thomas,Electronics,752,Christopher Lopez,Michaelside,2023-07-08
Sandra,Toys,774,Lori Salazar,East Kelsey,2021-12-25
Christopher,Electronics,502,Benjamin Benjamin,Lake Jacqueline,2023-06-25
Jose,Toys,334,Tammy Mccullough,Robertsonburgh,2020-09-04
Sean,Clothes,887,Jennifer Thomas,Bennettbury,2020-06-24
Paul,Clothes,602,Lisa Stanley,East Huntershire,2021-04-24
Travis,Toys,817,Shaun Nelson,Abigailview,2020-07-16
Valerie,Clothes,781,Gabriella Brown,New Gloria,2021-07-07
Charles,Electronics,323,Virginia Meyer,Brownmouth,2022-09-30
Brandon,Toys,892,Jessica Grimes,Port Robin,2022-12-03
James,Toys,180,Kathryn Robinson,Port Mark,2020-08-12
Tanya,Electronics,631,John Arnold,New Robert,2020-02-10
Ashley,Electronics,230,Barry Horn,Port Harold,2020-12-21
Joseph,Electronics,835,Barbara Phillips,Port Angela,2020-03-15
Nicole,Clothes,539,Richard Jensen,Lake Kaylashire,2021-07-12
Kendra,Clothes,684,Alexandria Long,Rhondaborough,2020-11-28
Elizabeth,Clothes,431,Christopher King,New Anthony,2021-09-25
Tracy,Clothes,222,Mr. Scott Christensen III,Jonesstad,2021-10-04
Greg,Electronics,335,Carmen Luna,Knappberg,2022-03-31
Jason,Toys,553,Henry Moreno,Peterschester,2022-03-13
Nathan,Electronics,686,Heather Valencia,South Jasonmouth,2021-12-11
Christian,Clothes,724,Wayne Austin,Port Rickyburgh,2022-12-17
Kathryn,Electronics,269,Sandra Mcintosh,Tylerstad,2022-12-22
Raymond,Clothes,698,Kenneth Brown,Kelleytown,2023-01-05
John,Clothes,925,Erik Hendricks,Lake Roberto,2020-04-02
Andrew,Toys,438,Jessica Carroll,South Todd,2022-10-03
Katherine,Electronics,963,Brian Jennings,Seanbury,2020-06-10
Jesse,Electronics,634,Tyler Winters,South Cheryl,2022-11-28
Vickie,Toys,737,Tyler Moore,Erikfort,2020-09-14
Mary,Toys,136,Daniel Clark,Chavezshire,2022-06-29
David,Clothes,888,John Ingram,Jeffburgh,2020-09-08
Tammy,Clothes,552,Shannon Smith,Davidshire,2021-02-19
Richard,Toys,806,Derek Perez,Dustinport,2022-05-28
Stephen,Clothes,985,Timothy Smith,West Ericaland,2021-03-30
Susan,Toys,949,Shane Shepherd,Gibsontown,2021-06-02
Alyssa,Toys,957,Scott Wilkinson,South Brandy,2021-11-21
Pamela,Clothes,723,James Nelson,Reyesberg,2023-04-13
Amy,Clothes,776,Jacob Torres,Jenniferfurt,2023-04-21
Rhonda,Toys,247,Joseph Peterson,Daniellehaven,2023-02-19
Audrey,Electronics,274,Adam Cunningham,Wilsonton,2020-11-04
Brenda,Electronics,257,Sally Gibson,North Maryville,2021-12-11
Diana,Clothes,481,Brenda Harris,South Angelicaberg,2020-10-23
Erin,Clothes,765,Maurice Howard,Wardton,2022-01-18
Phillip,Clothes,976,Katrina Hunter,Port Jenniferberg,2021-07-04
Erica,Clothes,628,Anthony Miller,Port Yvonne,2022-04-18
Wanda,Electronics,718,Bradley Rios,New Michele,2021-02-16
Anne,Electronics,632,Aaron Greer,Trevorport,2021-06-22
Justin,Toys,464,John Mcconnell,Lake Ryanberg,2022-09-09
Janet,Electronics,604,Debbie Carr,North Carolyn,2020-12-07
Matthew,Electronics,413,James Lopez,South Anna,2021-07-04
Charlene,Electronics,602,Oscar Chavez,New Christinaside,2023-02-19
Kevin,Clothes,946,Allen Garcia,North Julie,2022-07-02
Antonio,Electronics,637,Jason Powers,East Scotttown,2023-09-15
Norman,Clothes,205,Gabriela Wilson,Navarromouth,2022-07-26
Emma,Toys,806,Teresa Hutchinson,East John,2023-06-12
Ryan,Toys,949,Christine Williams,Fuentesfort,2021-07-03
Stephanie,Clothes,126,Rachel Nelson,Port Tommy,2021-06-13
Russell,Electronics,155,Thomas Collins,Mcleanton,2020-10-07
Tyler,Toys,191,Amanda Jackson,East Austinville,2020-07-04
Jeffrey,Electronics,202,Mackenzie Lane,Larsenbury,2022-08-28
Tom,Clothes,122,Jessica Young,West Michael,2023-05-31
Cody,Electronics,522,Christopher Clark,Port Saraside,2022-07-03
Darryl,Electronics,493,Brent Scott,Cookbury,2020-04-14
Joyce,Toys,839,Kendra Jones,Zacharyview,2021-05-11
Jessica,Clothes,496,Jerome Martin,New Joseph,2020-07-19
Cassandra,Electronics,301,Melinda Gibson,Coxton,2022-03-11
Rose,Clothes,946,Jacob Johnson,Brendabury,2021-01-18
Andrea,Clothes,585,Nancy Marsh,West Brittanyland,2021-06-22
Vincent,Electronics,778,Jeffrey Hubbard,Amandachester,2020-11-30
Jacqueline,Electronics,401,Erika Coleman,Campbellchester,2023-07-18
Cheryl,Toys,737,Benjamin Watson,Brendaberg,2023-01-12
Kelly,Toys,957,Kirsten Garcia,North Lauraborough,2021-09-09
William,Electronics,910,Stephen Thomas,North Jack,2022-09-12
Joshua,Electronics,875,Barbara Ballard,Christopherview,2022-04-02
Malik,Toys,360,Karl Foster PhD,New Joshua,2020-04-25
Krista,Toys,161,Jose Vasquez,North Mallory,2020-03-03
Jamie,Toys,495,Timothy Mccarthy,Velezton,2022-11-23
Daniel,Electronics,534,Jacob Gonzalez,Pattersonport,2021-05-07
Laura,Electronics,484,Alicia Walker,West John,2022-04-21
Harry,Electronics,523,Rachel Clayton,New Elizabeth,2020-05-09
Jennifer,Toys,103,Robert Kennedy,Yangstad,2023-06-10
Patricia,Toys,419,William Jacobs,Snyderville,2021-04-17
Angela,Electronics,681,Elizabeth Bush,Ferrellland,2020-04-23
Christine,Clothes,965,Reginald Thompson,Jasonfurt,2023-06-18
Ann,Clothes,213,Jesse White,North Jamesburgh,2021-01-01
Dana,Clothes,309,William Mahoney,North Darrenview,2022-05-17
Melanie,Clothes,586,Monique Evans,Jonesport,2021-01-31
Crystal,Toys,332,Mark Ford,Danaville,2023-07-30
Ricardo,Toys,221,Jason Robinson,Riveraview,2020-04-21
Nicholas,Clothes,633,Jack Underwood,Flemingmouth,2020-01-20
Kenneth,Toys,989,John Williams,Michellefort,2023-07-01
Kathleen,Electronics,750,Denise Reed,Matthewsshire,2021-01-01
Wesley,Clothes,238,James Dyer,New Natalieburgh,2020-03-13
Shannon,Clothes,797,David Simmons,East Donnaland,2023-08-17
Brian,Clothes,819,Heidi Moore,Barnesville,2022-07-27
Erika,Toys,123,Daniel Wallace,South Michaelfort,2021-01-05
Adrian,Clothes,635,Susan Henry,Matthewburgh,2023-01-27
Seth,Clothes,718,Daniel Jackson,Wilsonchester,2021-04-22
Julie,Toys,841,Heather Walker,Katrinaberg,2021-03-05
Aaron,Electronics,335,Destiny Phillips,Baileychester,2020-12-09
